math,language,earn,ethblack,ethhisp,ethwhite,hgc,hgcp,id,l14coun,l14farm,l14town,lgearn,male,pov78,siblings
89,88,8.809999175,1,0,0,12,23,1190,1,0,0,2.175887346,1,1,5
101,92,17.6099988,1,0,0,12,24,1294,0,0,1,2.868466854,1,0,4
110,104,10.44999984,0,0,1,16,30,2550,0,0,1,2.346601963,1,0,3
123,116,14.8999995,0,0,1,16,32,123,0,0,1,2.701361179,1,#?/?,1
106,120,9.6500008,0,0,1,12,25,3615,0,0,1,2.266957998,1,0,4
74,58,12.05999952,0,0,1,12,24,4716,1,0,0,2.489894152,1,0,2
94,107,23.070001,0,0,1,11,24,2555,0,1,0,3.138533115,1,0,1
77,89,11.0000007,1,0,0,16,23,1432,0,0,1,2.397895336,1,0,2
71,50,7.900000491,0,0,1,11,28,4503,0,0,1,2.066862822,1,1,4
114,97,10.50000088,0,0,1,12,26,4240,0,0,1,2.351375341,1,0,3
79,95,14.40000022,0,0,1,12,28,4159,1,0,0,2.667228222,1,0,1
115,111,20.43000166,0,0,1,16,20,4548,1,0,0,3.01700449,1,0,2
58,58,11.14999912,0,0,1,12,18,616,0,0,1,2.411439419,1,0,3
112,110,9.880000494,0,0,1,13,26,5178,0,0,1,2.290512562,1,0,2
100,93,8.330000449,0,0,1,12,24,2981,0,0,1,2.11986351,1,0,3
106,88,20.83000213,0,0,1,12,24,2000,0,0,1,3.036394358,1,#?/?,6
107,113,21.14999767,0,0,1,16,28,11920,0,0,1,3.051639795,1,0,0
117,89,10.09000061,0,0,1,12,24,5491,0,0,1,2.311544895,1,0,1
117,115,13.20000073,0,0,1,12,23,4569,0,0,1,2.580216885,1,1,10
82,61,10.00000032,0,0,1,12,24,1357,0,0,1,2.302585125,1,0,3
127,115,30.54000129,0,0,1,16,23,3084,1,0,0,3.419037342,1,0,1
112,107,17.58999987,0,0,1,12,24,4278,0,0,1,2.867330551,1,0,6
128,120,60.43000356,0,0,1,13,28,18,0,0,1,4.101485729,1,0,2
107,110,16.24999907,0,0,1,12,28,1107,0,0,1,2.788092852,1,0,0
107,104,17.47999845,0,0,1,12,25,323,0,0,1,2.861057281,1,0,3
87,107,6.730000399,0,0,1,12,24,4161,0,0,1,1.906575203,1,0,0
115,110,12.50000073,0,0,1,16,28,3018,0,0,1,2.525728703,1,#?/?,4
74,66,5.00000015,1,0,0,14,24,1287,0,0,1,1.609437943,1,0,2
124,115,18.37000034,0,0,1,16,24,5420,0,1,0,2.910718918,1,0,3
127,120,100.1600178,0,0,1,20,22,3187,0,0,1,4.606769085,1,0,2
126,112,19.22999776,0,0,1,18,24,3866,0,0,1,2.956471443,1,0,1
123,120,19.22999776,0,0,1,18,23,1563,1,0,0,2.956471443,1,0,6
118,104,11.88000075,0,0,1,12,21,4586,0,0,1,2.474856377,1,1,2
74,90,21.14999767,0,0,1,16,27,751,0,0,1,3.051639795,1,1,3
91,74,7.359999719,1,0,0,14,19,1288,0,0,1,1.996059895,1,0,9
87,90,6.99999963,1,0,0,12,22,12131,0,0,1,1.945910096,1,0,4
86,90,10.00000032,0,0,1,12,21,2045,0,0,1,2.302585125,1,1,4
82,111,11.20000047,0,0,1,10,24,1595,0,0,1,2.41591382,1,0,6
106,91,13.59000003,0,0,1,18,28,864,0,0,1,2.60933423,1,0,3
98,116,10.00000032,0,0,1,12,20,3395,0,0,1,2.302585125,1,0,0
68,54,7.250000199,0,0,1,9,12,1342,0,0,1,1.981001496,1,0,4
78,76,14.00000096,0,1,0,15,17,2967,0,0,1,2.639057398,1,1,4
125,103,25.64000272,0,0,1,18,24,3379,0,0,1,3.244153738,1,0,2
118,115,13.46000082,0,0,1,16,24,2532,0,1,0,2.599722385,1,0,2
91,82,12.00000028,0,0,1,12,24,2089,0,0,1,2.484906673,1,0,6
102,110,7.50000036,0,0,1,12,21,2479,0,0,1,2.014903069,1,0,2
113,121,17.10999899,0,0,1,17,32,1501,0,0,1,2.839663029,1,0,3
101,113,33.93000145,0,0,1,14,24,1363,0,0,1,3.524299622,1,0,1
91,83,12.00000028,0,0,1,12,24,2977,0,0,1,2.484906673,1,0,6
80,103,10.80000034,0,0,1,14,24,5229,0,1,0,2.379546165,1,0,6
79,104,11.12,0,0,1,10,28,3340,0,0,1,2.408745289,1,1,3
115,112,14.32999918,0,0,1,13,16,2999,0,0,1,2.662355185,1,0,3
123,112,16.23000062,0,0,1,17,24,5567,1,0,0,2.78686142,1,0,4
78,105,20.1900016,0,0,1,12,24,3100,0,0,1,3.005187511,1,0,2
103,112,23.070001,0,0,1,13,24,3140,0,0,1,3.138533115,1,0,3
99,114,11.20999982,0,0,1,14,32,1081,0,0,1,2.416806221,1,0,3
73,68,8.000000046,0,0,1,11,23,4985,0,0,1,2.079441547,1,0,2
94,99,14.52999902,0,0,1,16,24,4225,1,0,0,2.67621541,1,0,3
115,108,21.00000181,0,0,1,12,24,1918,1,0,0,3.044522524,1,0,2
99,94,5.00000015,0,0,1,12,24,12093,1,0,0,1.609437943,1,0,2
74,76,9.159999592,0,0,1,10,22,1543,0,0,1,2.214846134,1,0,4
99,119,26.15000178,0,0,1,20,24,4471,0,0,1,3.263849258,1,0,1
90,81,6.99999963,1,0,0,12,14,3937,0,0,1,1.945910096,1,0,2
109,118,15.38000039,0,0,1,16,28,2006,0,0,1,2.733067989,1,0,2
105,118,21.73000157,0,0,1,16,27,129,0,0,1,3.078693867,1,0,3
61,82,13.32999928,1,0,0,14,24,2914,0,0,1,2.59001708,1,0,2
122,119,23.49999723,0,0,1,20,30,5170,0,1,0,3.157000303,1,0,2
102,113,13.77000001,0,0,1,13,28,4403,0,0,1,2.622492313,1,0,2
114,119,26.44000027,0,0,1,19,34,2010,0,0,1,3.274878025,1,0,1
105,94,8.000000046,0,0,1,12,24,3417,0,0,1,2.079441547,1,0,7
111,107,13.86000149,0,0,1,15,22,1781,0,0,1,2.629007101,1,0,0
117,113,15.38000039,0,0,1,18,36,3803,0,0,1,2.733067989,1,0,1
106,108,9.959999986,0,0,1,16,24,5352,0,0,1,2.29857707,1,0,3
92,89,9.499999556,0,0,1,12,23,3830,0,0,1,2.251291752,1,0,3
118,113,11.0000007,0,0,1,16,32,5250,0,0,1,2.397895336,1,0,2
103,101,7.50000036,0,0,1,12,24,3838,0,0,1,2.014903069,1,0,3
120,117,33.84000352,0,0,1,18,36,2851,0,0,1,3.521643639,1,0,2
105,110,12.98000122,0,0,1,12,29,12106,1,0,0,2.563409805,1,0,3
118,110,20.00000068,0,0,1,15,28,13,0,0,1,2.995732307,1,0,2
104,84,12.00000028,0,0,1,14,34,3878,0,0,1,2.484906673,1,0,3
79,68,6.910000356,0,0,1,8,16,5444,1,0,0,1.932969689,1,1,3
102,115,15.38000039,0,0,1,16,29,457,0,0,1,2.733067989,1,0,2
89,100,18.26000074,0,0,1,12,26,486,0,0,1,2.904712915,1,0,2
98,99,7.50000036,0,0,1,12,22,4333,0,0,1,2.014903069,1,0,6
75,57,4.229999911,0,0,1,12,21,1044,0,0,1,1.442201972,1,0,2
